uid,role,description,hidden,controller,function,table,uacl,oacl,Notes
AUTHENTICATED,Authenticated User,,,gis,location,,CREATE|READ,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated User,,,gis,,,READ,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated User,,,hrm,index,,NONE,,
AUTHENTICATED,Authenticated User,,,hrm,person,,,READ|UPDATE,
AUTHENTICATED,Authenticated User,,,hrm,staff,,NONE,,
AUTHENTICATED,Authenticated User,,,hrm,,,NONE,,
AUTHENTICATED,Authenticated User,,,msg,search,,READ,,
AUTHENTICATED,Authenticated User,,,pr,pentity,,READ,,
AUTHENTICATED,Authenticated User,,,pr,person,,,READ|UPDATE,
AUTHENTICATED,Authenticated User,,,pr,person_search,,READ,,
AUTHENTICATED,Authenticated User,,,pr,,,CREATE,READ|UPDATE,
AUTHENTICATED,Authenticated User,,,,,cr_shelter_flag,READ,,
AUTHENTICATED,Authenticated User,,,,,cr_shelter_type,READ,,
AUTHENTICATED,Authenticated User,,,,,doc_document,READ,,
AUTHENTICATED,Authenticated User,,,,,doc_image,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_case_activity_status,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_case_appointment_type,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_case_event_type,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_case_flag,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_case_status,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_need,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_note_type,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_response_status,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_response_theme,READ,,
AUTHENTICATED,Authenticated User,,,,,dvr_response_type,READ,,
AUTHENTICATED,Authenticated User,,,,,org_facility,READ,,
AUTHENTICATED,Authenticated User,,,,,org_facility_type,READ,,
AUTHENTICATED,Authenticated User,,,,,org_group,READ,,
AUTHENTICATED,Authenticated User,,,,,org_group_membership,READ,,
