Organisation,Name,External,Not Transferable,Comments
AfA Trier,Gesucht,false,false,Person is sought by the administration
AfA Trier,Inobhutnahme,true,false,Child taken into care of child welfare authorities
AfA Trier,Krankenhaus,true,true,"In Hospital, still entitled to benefits, cannot be transferred"
AfA Trier,Medizin,false,false,Medical conditions that require special handling
AfA Trier,Polizeigewahrsam,true,true,"With the police, still entitled to benefits, cannot be transferred"
AfA Trier,Post,false,false,Client has mail to fetch from the info point
AfA Trier,Priorität,false,false,Conditions exist that require prioritized handling of the case
AfA Trier,Quarantäne,false,true,"Person is to be quarantined, cannot be transferred"
AfA Trier,Schutz,false,false,Vulnerabilities that require protective measures
AfA Trier,Sicherheit,false,false,Security risks that require special handling
